Entity;Code;Year;Human Development Index
Afghanistan;AFG;2019;0,488
Albania;ALB;2019;0,81
Algeria;DZA;2019;0,748
Andorra;AND;2019;0,873
Angola;AGO;2019;0,595
Antigua and Barbuda;ATG;2019;0,8
Arab States (UNDP);;2019;0,715
Argentina;ARG;2019;0,852
Armenia;ARM;2019;0,778
Australia;AUS;2019;0,941
Austria;AUT;2019;0,919
Azerbaijan;AZE;2019;0,761
Bahamas;BHS;2019;0,816
Bahrain;BHR;2019;0,882
Bangladesh;BGD;2019;0,644
Barbados;BRB;2019;0,799
Belarus;BLR;2019;0,817
Belgium;BEL;2019;0,936
Belize;BLZ;2019;0,705
Benin;BEN;2019;0,53
Bhutan;BTN;2019;0,671
Bolivia;BOL;2019;0,717
Bosnia and Herzegovina;BIH;2019;0,783
Botswana;BWA;2019;0,717
Brazil;BRA;2019;0,766
Brunei;BRN;2019;0,83
Bulgaria;BGR;2019;0,81
Burkina Faso;BFA;2019;0,452
Burundi;BDI;2019;0,431
Cambodia;KHM;2019;0,598
Cameroon;CMR;2019;0,583
Canada;CAN;2019;0,937
Cape Verde;CPV;2019;0,676
Central African Republic;CAF;2019;0,411
Chad;TCD;2019;0,403
Chile;CHL;2019;0,861
China;CHN;2019;0,762
Colombia;COL;2019;0,768
Comoros;COM;2019;0,56
Congo;COG;2019;0,57
Costa Rica;CRI;2019;0,819
Cote d'Ivoire;CIV;2019;0,55
Croatia;HRV;2019;0,861
Cuba;CUB;2019;0,788
Cyprus;CYP;2019;0,897
Czechia;CZE;2019;0,897
Democratic Republic of Congo;COD;2019;0,482
Denmark;DNK;2019;0,946
Djibouti;DJI;2019;0,512
Dominica;DMA;2019;0,729
Dominican Republic;DOM;2019;0,771
East Asia and the Pacific (UNDP);;2019;0,748
Ecuador;ECU;2019;0,76
Egypt;EGY;2019;0,735
El Salvador;SLV;2019;0,683
Equatorial Guinea;GNQ;2019;0,605
Eritrea;ERI;2019;0,495
Estonia;EST;2019;0,896
Eswatini;SWZ;2019;0,615
Ethiopia;ETH;2019;0,498
Europe and Central Asia (UNDP);;2019;0,802
Fiji;FJI;2019;0,746
Finland;FIN;2019;0,939
France;FRA;2019;0,905
Gabon;GAB;2019;0,709
Gambia;GMB;2019;0,503
Georgia;GEO;2019;0,81
Germany;DEU;2019;0,948
Ghana;GHA;2019;0,631
Greece;GRC;2019;0,889
Grenada;GRD;2019;0,8
Guatemala;GTM;2019;0,642
Guinea;GIN;2019;0,467
Guinea-Bissau;GNB;2019;0,49
Guyana;GUY;2019;0,708
Haiti;HTI;2019;0,543
High human development (UNDP);;2019;0,756
Honduras;HND;2019;0,632
Hong Kong;HKG;2019;0,952
Hungary;HUN;2019;0,853
Iceland;ISL;2019;0,96
India;IND;2019;0,645
Indonesia;IDN;2019;0,716
Iran;IRN;2019;0,783
Iraq;IRQ;2019;0,696
Ireland;IRL;2019;0,942
Israel;ISR;2019;0,921
Italy;ITA;2019;0,897
Jamaica;JAM;2019;0,719
Japan;JPN;2019;0,924
Jordan;JOR;2019;0,727
Kazakhstan;KAZ;2019;0,819
Kenya;KEN;2019;0,581
Kiribati;KIR;2019;0,63
Kuwait;KWT;2019;0,839
Kyrgyzstan;KGZ;2019;0,698
Laos;LAO;2019;0,61
Latin America and the Caribbean (UNDP);;2019;0,768
Latvia;LVA;2019;0,871
Lebanon;LBN;2019;0,745
Lesotho;LSO;2019;0,524
Liberia;LBR;2019;0,484
Libya;LBY;2019;0,722
Liechtenstein;LIE;2019;0,94
Lithuania;LTU;2019;0,884
Low human development (UNDP);;2019;0,522
Luxembourg;LUX;2019;0,927
Madagascar;MDG;2019;0,51
Malawi;MWI;2019;0,519
Malaysia;MYS;2019;0,81
Maldives;MDV;2019;0,755
Mali;MLI;2019;0,433
Malta;MLT;2019;0,915
Marshall Islands;MHL;2019;0,64
Mauritania;MRT;2019;0,563
Mauritius;MUS;2019;0,817
Medium human development (UNDP);;2019;0,645
Mexico;MEX;2019;0,779
Micronesia (country);FSM;2019;0,633
Moldova;MDA;2019;0,774
Mongolia;MNG;2019;0,746
Montenegro;MNE;2019;0,837
Morocco;MAR;2019;0,682
Mozambique;MOZ;2019;0,456
Myanmar;MMR;2019;0,598
Namibia;NAM;2019;0,639
Nepal;NPL;2019;0,611
Netherlands;NLD;2019;0,943
New Zealand;NZL;2019;0,937
Nicaragua;NIC;2019;0,664
Niger;NER;2019;0,406
Nigeria;NGA;2019;0,538
North Macedonia;MKD;2019;0,784
Norway;NOR;2019;0,961
Oman;OMN;2019;0,839
Pakistan;PAK;2019;0,546
Palau;PLW;2019;0,776
Palestine;PSE;2019;0,727
Panama;PAN;2019;0,817
Papua New Guinea;PNG;2019;0,56
Paraguay;PRY;2019;0,732
Peru;PER;2019;0,78
Philippines;PHL;2019;0,718
Poland;POL;2019;0,881
Portugal;PRT;2019;0,867
Qatar;QAT;2019;0,859
Romania;ROU;2019;0,832
Russia;RUS;2019;0,845
Rwanda;RWA;2019;0,534
Saint Kitts and Nevis;KNA;2019;0,783
Saint Lucia;LCA;2019;0,735
Saint Vincent and the Grenadines;VCT;2019;0,769
Samoa;WSM;2019;0,715
San Marino;SMR;2019;0,862
Sao Tome and Principe;STP;2019;0,622
Saudi Arabia;SAU;2019;0,873
Senegal;SEN;2019;0,513
Serbia;SRB;2019;0,811
Seychelles;SYC;2019;0,802
Sierra Leone;SLE;2019;0,48
Singapore;SGP;2019;0,943
Slovakia;SVK;2019;0,862
Slovenia;SVN;2019;0,921
Solomon Islands;SLB;2019;0,567
South Africa;ZAF;2019;0,736
South Asia (UNDP);;2019;0,641
South Korea;KOR;2019;0,923
South Sudan;SSD;2019;0,393
Spain;ESP;2019;0,908
Sri Lanka;LKA;2019;0,778
Sub-Saharan Africa (UNDP);;2019;0,552
Sudan;SDN;2019;0,514
Suriname;SUR;2019;0,755
Sweden;SWE;2019;0,947
Switzerland;CHE;2019;0,962
Syria;SYR;2019;0,584
Tajikistan;TJK;2019;0,676
Tanzania;TZA;2019;0,548
Thailand;THA;2019;0,804
Timor;TLS;2019;0,614
Togo;TGO;2019;0,535
Tonga;TON;2019;0,744
Trinidad and Tobago;TTO;2019;0,821
Tunisia;TUN;2019;0,745
Turkey;TUR;2019;0,842
Turkmenistan;TKM;2019;0,742
Tuvalu;TUV;2019;0,635
Uganda;UGA;2019;0,525
Ukraine;UKR;2019;0,786
United Arab Emirates;ARE;2019;0,92
United Kingdom;GBR;2019;0,935
United States;USA;2019;0,93
Uruguay;URY;2019;0,821
Uzbekistan;UZB;2019;0,726
Vanuatu;VUT;2019;0,611
Venezuela;VEN;2019;0,721
Very high human development (UNDP);;2019;0,902
Vietnam;VNM;2019;0,703
World;OWID_WRL;2019;0,739
Yemen;YEM;2019;0,461
Zambia;ZMB;2019;0,575
Zimbabwe;ZWE;2019;0,601
