country_code,death_rate_age_5-,death_rate_age_5-14,death_rate_age_14-49,death_rate_age_50-69,death_rate_age_70+
AFG,"1,48","0,05","0,99","1,36","0,6"
ALB,"0,06","0,01","0,07","0,08","0,03"
DZA,"0,43","0,05","0,69","1,19","0,85"
ASM,"0,71","0,15","1,13","1,13","0,63"
AND,"0,48","0,02","3,44","5,69","4,43"
AGO,"16,4","6,93","91,24","125,69","47,96"
ATG,"1,47","0,52",10,"12,04","4,06"
ARG,"0,35","0,16","5,41","5,95","0,76"
ARM,"0,1","0,04",1,"0,55",0
AUS,"0,04","0,02","0,33","0,53","0,06"
AUT,"0,08","0,03","0,53","0,53","0,08"
AZE,"0,21","0,02","0,54","0,25","0,03"
BHS,"3,39","1,32","40,39","41,02","9,49"
BHR,"0,11","0,06","0,53","0,85","0,31"
BGD,"0,28","0,03","0,28","0,25","0,16"
BRB,"0,99","0,49","11,08","9,94","3,89"
BLR,"0,33","0,05","5,83","1,45",0
BEL,"0,17","0,06","0,5","0,94","0,1"
BLZ,"3,29","0,94","28,51","26,22","6,41"
BEN,"8,25","4,56","21,35","47,84","14,8"
BMU,"1,14","0,39","12,17","12,55","5,11"
BTN,"4,73","0,41","4,91","4,98","3,13"
BOL,"9,38","0,64","7,61","6,22","3,33"
BIH,"0,02",0,"0,05","0,09","0,04"
BWA,"12,96","6,38","295,68","592,54","215,76"
BRA,"1,73","0,5","8,89","11,26","2,43"
BRN,"0,87","0,08","1,26","2,17","1,84"
BGR,"0,23","0,03","0,9","0,94","0,01"
BFA,"8,23","3,31","16,15","42,49","13,78"
BDI,"9,68","6,12","19,89","58,99","17,52"
KHM,"3,26","1,47","9,95","18,46","3,91"
CMR,"17,07","10,12","115,53","213,57","73,17"
CAN,"0,06","0,04","0,9","1,03","0,12"
CPV,"6,4","1,78","10,65","20,3","5,38"
CAF,"15,45","10,76","154,87","282,54","94,76"
TCD,"11,51","5,17","44,86","90,45","30,99"
CHL,"0,18","0,05","3,68","3,51","0,82"
CHN,"0,72","0,12","2,32","2,94","3,17"
COL,"0,89","0,17","6,83","7,41","1,7"
COM,"0,11","0,01","0,38","0,29","0,29"
COG,"46,21","11,44","108,16","170,58","54,57"
COK,"2,78","0,45","12,72","13,15","4,24"
CRI,"0,86","0,44","3,79","4,87","0,72"
CIV,"23,36","12,42","66,1","150,33","46,86"
HRV,"0,08","0,03","0,19","0,29","0,04"
CUB,"0,28","0,16","4,28","3,33","0,44"
CYP,"0,01",0,"0,36","0,52","0,5"
CZE,"0,13","0,02","0,21","0,27","0,06"
COD,"6,92","2,78","15,39","30,03","9,67"
DNK,"0,07","0,01","0,42","0,82","0,15"
DJI,"7,05","7,48","105,24","155,57","52,89"
DMA,"2,61","0,59","9,94","8,77","3,1"
DOM,"1,34","0,38","15,69","25,19","8,03"
ECU,"1,4","0,37","10,38","7,89","2,14"
EGY,"0,04","0,01","0,07","0,08","0,04"
SLV,"12,29","1,09","12,31","16,9","11,34"
GNQ,"66,42","23,23","212,92","330,28","122,77"
ERI,"8,39","2,7","26,97","58,07","18,09"
EST,"0,18","0,03","5,21","1,08",0
SWZ,"113,43","32,88","386,55","655,96","252,59"
ETH,"20,12","5,57","31,01","69,1","20,44"
FJI,"1,52","0,3","1,24","0,71","0,26"
FIN,"0,06","0,02","0,1","0,2","0,01"
FRA,"0,09","0,04","0,8","1,29","0,11"
GAB,"22,56","5,27","78,68","149,55","52,36"
GMB,"10,5","3,69",73,"118,44","40,06"
GEO,"0,22","0,05","1,03","0,6","0,01"
DEU,"0,12","0,04","0,52","0,87","0,12"
GHA,"6,88","5,68","64,39","102,16","34,4"
GRC,"0,09","0,02","0,34","0,24","0,02"
GRL,"5,19","0,14","2,04","5,12","3,25"
GRD,"0,66","0,28","6,5","8,28","2,1"
GUM,"3,07","0,36","5,52","5,02","2,45"
GTM,"2,18","0,42","5,04","6,85","0,91"
GIN,"8,54","4,38","50,13","79,24","30,01"
GNB,"9,09","8,68","78,15","136,14","46,09"
GUY,"4,1","1,28","33,38","29,84",7
HTI,"17,58","8,43","59,57","109,19","36,52"
HND,"0,55","0,03","1,34","1,31","0,53"
HUN,"0,06","0,01","0,36","0,83","0,01"
ISL,"0,06","0,02","0,39","0,26","0,05"
IND,"1,56","0,33","4,67","3,99","0,38"
IDN,"4,83","0,22","2,84","1,06","0,46"
IRN,"2,01","0,04","1,62","1,8","0,74"
IRQ,"0,51","0,04","0,2","0,2","0,05"
IRL,"0,05","0,01","0,29","0,15","0,01"
ISR,"0,24","0,05","0,45","0,76","0,26"
ITA,"0,11","0,04","1,21","1,73","0,18"
JAM,"3,29","1,07","18,62","23,94","3,56"
JPN,"0,1","0,02","0,07","0,35","0,02"
JOR,"0,49","0,03","0,24","0,39","0,19"
KAZ,"0,18","0,03","2,55","0,58","0,01"
KEN,"39,59","12,55","130,64","293,58","93,66"
KIR,"3,19","0,31","1,59","0,58","0,24"
KWT,"0,1","0,04","0,07","0,07","0,01"
KGZ,"1,48","0,37","3,91","2,47","0,14"
LAO,"4,68","0,49","6,32","8,53","6,77"
LVA,"0,51","0,07","10,97","5,31","0,06"
LBN,"2,89","0,14","1,15","1,53","0,75"
LSO,"159,87","43,95","664,47","1045,62","423,07"
LBR,"3,76","4,32","50,89","80,8","25,98"
LBY,"1,24","0,06","1,51","1,67","0,69"
LTU,"0,15","0,05","3,23","2,76",0
LUX,"0,05","0,02","0,57","0,44","0,07"
MDG,"4,91","0,74","13,96","18,92","7,17"
MWI,"31,26","22,48","100,34","236,19","81,16"
MYS,"13,2","1,21","4,8","5,42","1,38"
MDV,"0,12","0,03","0,19","0,31","0,19"
MLI,"8,08","2,84","30,86","59,69","20,91"
MLT,"0,07","0,03","0,49","0,32","0,07"
MHL,"3,4","0,52","9,34","10,61","9,44"
MRT,"0,08","0,03","0,78","0,96","1,3"
MUS,"0,69","0,16","10,38","6,97","0,92"
MEX,"0,73","0,25","5,58","5,67","1,1"
FSM,"16,61","3,9","62,42","57,4","40,7"
MDA,"0,07","0,05","8,05","1,52","0,06"
MCO,"0,24","0,02","2,05","3,73","1,8"
MNG,"0,11","0,02","0,42","1,32","0,53"
MNE,"0,74","0,05","0,23","0,21","0,07"
MAR,"2,46","0,33","1,51","1,66","0,8"
MOZ,"189,28","45,11","326,44","425,48","170,02"
MMR,"2,1","1,39","12,34","10,41","2,75"
NAM,"78,39","19,77","185,23","417,84","143,48"
NRU,3,"0,44","11,52","12,46","5,33"
NPL,"2,69","0,43","6,23","6,9","4,43"
NLD,"0,08","0,03","0,3","0,52","0,05"
NZL,"0,04","0,02","0,28","0,24","0,04"
NIC,"5,49","0,7","11,96","10,83","5,06"
NER,"1,54","0,97","9,58","23,3","7,82"
NGA,"18,94","2,24","55,16","106,23","34,59"
NIU,"2,8","0,44","12,39","12,23","3,95"
PRK,"2,55","0,18","3,32","3,81","2,05"
MKD,"0,48","0,02","0,09","0,06","0,02"
MNP,"1,31","0,22","1,64","1,51","1,04"
NOR,"0,06","0,03","0,31","0,43","0,03"
OMN,"0,38","0,09","2,34","5,83","2,3"
PAK,"2,06","0,1","2,41","2,44","1,49"
PLW,"2,76","0,42","13,52","11,59","4,87"
PSE,"0,35","0,03","0,39","0,24","0,01"
PAN,"1,97","0,37","19,21","17,55","3,51"
PNG,"14,69","2,79","54,05","80,81","29,84"
PRY,"14,62","1,23","9,03","11,97","3,69"
PER,"18,68","1,35","7,82","5,59","2,94"
PHL,"5,23","1,4","5,84","5,59","0,05"
POL,"0,14","0,05","0,54","0,31","0,02"
PRT,"0,28","0,07","6,55","5,45","0,99"
PRI,"0,41","0,15","7,88","10,65","1,74"
QAT,"0,11","0,03","0,15","0,31","0,16"
ROU,"0,33","0,14","1,21","0,57","0,11"
RUS,"4,08","0,43","24,53","3,77","0,12"
RWA,"6,56","1,93","29,33","81,78","27,28"
KNA,"14,84","1,16","63,11","75,98","37,04"
LCA,"0,43","0,2","5,41","5,14","1,57"
VCT,"2,22","1,07","24,86","20,72","6,97"
WSM,"3,01","0,58","8,68","11,18","7,36"
SMR,"0,29","0,02","1,86","3,72","1,79"
STP,"0,06","0,01","0,2","0,25","0,11"
SAU,"1,09","0,15","2,14","3,18","1,53"
SEN,"2,59","1,8","14,57","27,87","9,28"
SRB,"0,68","0,08","0,69","0,66","0,15"
SYC,"0,76","0,26","4,62","6,23","2,22"
SLE,"3,38","4,77","52,07","72,04","26,38"
SGP,"0,05","0,02","0,6","1,13","0,35"
SVK,"0,15","0,01","0,09","0,08","0,02"
SVN,"0,1","0,02","0,15","0,11",0
SLB,"4,34","0,63","8,71","10,05","8,65"
SOM,"9,61","3,11","23,17","37,15","13,17"
ZAF,"37,54","35,99","334,41","419,72","147,88"
KOR,"0,09","0,02","0,19","0,47","0,26"
SSD,"12,25","5,56","75,71","108,38","38,18"
ESP,"0,19","0,06","2,01","2,04","0,2"
LKA,"0,28","0,02","0,22","0,18","0,04"
SDN,"2,11","0,81","19,1","26,89","9,5"
SUR,"4,25","1,01","24,96","21,57","6,05"
SWE,"0,06","0,02","0,23","0,38","0,04"
CHE,"0,06","0,02","0,51","0,62","0,16"
SYR,"0,16","0,01","0,13","0,09","0,01"
TWN,"0,14","0,03","0,89","0,87","0,31"
TJK,"0,12","0,01","0,95",1,"0,07"
TZA,"14,29","8,15","68,91","129,47","43,4"
THA,"5,82","0,11","28,87","32,58","14,55"
TLS,"25,87","2,71","19,16","33,93","28,53"
TGO,"10,4","7,32","59,12","115,08","35,67"
TKL,"2,92","0,45","12,44","12,35","4,3"
TON,"1,19","0,19","2,34","3,19","1,96"
TTO,"2,69","0,83","21,55","16,16","1,72"
TUN,"0,85","0,05","1,62","1,66","0,71"
TUR,"0,42","0,02","0,29","0,4","0,23"
TKM,"0,13","0,04","3,79","0,57",0
TUV,"2,75","0,44","11,66","11,55","4,52"
UGA,"25,05","12,34","72,74","136,61","45,43"
UKR,"1,03","0,2","26,94","8,68","0,04"
ARE,"0,75","0,07","1,56","1,65","77,2"
GBR,"0,13","0,03","0,44","0,54","0,05"
USA,"0,14","0,04","2,24","4,21","0,6"
VIR,"0,61","0,26","9,65","11,27","3,37"
URY,"0,17","0,09","6,28","7,77","4,69"
UZB,"0,16","0,17","2,77","1,39","0,05"
VUT,"3,86","0,61","8,85","10,73","12,64"
VEN,"1,01","0,36","8,97","9,46","2,35"
VNM,"0,07","0,01","11,1","2,78","0,16"
OWID_WRL,"7,38","2,12","14,94","13,23","3,66"
YEM,"1,94","0,09","1,33","1,7","0,84"
ZMB,"107,18","19,58","157,67","333,02","116,9"
ZWE,"66,07","34,29","168,22","400,92","141,12"
